iter	Logloss
0	0.6759526454
1	0.660989587
2	0.647596684
3	0.6358519985
4	0.6257379717
5	0.6166357226
6	0.6084843031
7	0.6013309239
8	0.5952479292
9	0.5895423453
10	0.5848220346
11	0.5805116425
12	0.5766225739
13	0.5731652461
14	0.5701349378
15	0.5673238286
16	0.5647000209
17	0.5625321786
18	0.5606704145
19	0.5588232814
20	0.5572278595
21	0.5558341108
22	0.5545014518
23	0.5532690517
24	0.5520102997
25	0.5509750693
26	0.5500260293
27	0.549094138
28	0.5482454725
29	0.5475090594
30	0.5467915344
31	0.5461603633
32	0.545568015
33	0.5449636514
34	0.5444116015
35	0.5439157824
36	0.5435313634
37	0.5431117946
38	0.5427722015
39	0.5424298597
40	0.5420912519
41	0.5417239859
42	0.5414387992
43	0.5410663212
44	0.5407717024
45	0.5405413644
46	0.5402317461
47	0.5399879935
48	0.5397725198
49	0.5395180969
50	0.5393075104
51	0.5390985652
52	0.538931172
53	0.5387491019
54	0.5385574515
55	0.5383557848
56	0.5382192448
57	0.5380726863
58	0.537945779
59	0.5378123169
60	0.5376818717
61	0.5375318386
62	0.5373759308
63	0.5372517024
64	0.5371425803
65	0.5370384216
66	0.5369077105
67	0.5367891628
68	0.5367020307
69	0.5365669621
70	0.5364363425
71	0.5363463069
72	0.536223478
73	0.5361454795
74	0.5360682526
75	0.5359716448
76	0.5358515298
77	0.5357626692
78	0.5356999076
79	0.5355819375
80	0.5354859641
81	0.5353889749
82	0.5353097687
83	0.5352989676
84	0.5352164677
85	0.5351564505
86	0.535060682
87	0.5349650944
88	0.5348903024
89	0.5348377293
90	0.5347386278
91	0.5346086862
92	0.5345259072
93	0.5344427229
94	0.5343737924
95	0.5343461696
96	0.5342561057
97	0.5342026367
98	0.5341294381
99	0.5340258506
100	0.5339648525
101	0.5339076887
102	0.5338170994
103	0.5337525591
104	0.5337101658
105	0.5336172028
106	0.5335909794
107	0.5335208806
108	0.5334772862
109	0.5334212058
110	0.5333296901
111	0.5332866189
112	0.5332476872
113	0.5331620396
114	0.5331289934
115	0.5330439824
116	0.5329922812
117	0.5329277431
118	0.5328786229
119	0.5328218209
120	0.5327807639
121	0.532728738
122	0.5326477094
123	0.532585689
124	0.5325609654
125	0.5325154899
126	0.5324630999
127	0.532426324
128	0.53239905
129	0.532343386
130	0.5322778516
131	0.5322370257
132	0.5321806139
133	0.532150674
134	0.5321037336
135	0.5320110866
136	0.5319835074
137	0.5319342281
138	0.5319004386
139	0.5318582829
140	0.5318296465
141	0.5317925786
142	0.531734314
143	0.5316770521
144	0.5316430926
145	0.5316138306
146	0.5315623278
147	0.5315091117
148	0.5314752502
149	0.5314193944
150	0.5313743134
151	0.531318719
152	0.5312811955
153	0.5312277527
154	0.5311891283
155	0.5311308289
156	0.5310966405
157	0.5310341078
158	0.531019261
159	0.5309848153
160	0.5309434248
161	0.5309098794
162	0.5308855874
163	0.5308404497
164	0.5308330209
165	0.5307643542
166	0.5307474474
167	0.5306999708
168	0.5306757529
169	0.5306485661
170	0.530541299
171	0.5304983521
172	0.5304326063
173	0.530398335
174	0.5303529968
175	0.5303057404
176	0.5302546191
177	0.5301965594
178	0.5301324092
179	0.5300802699
180	0.5300071062
181	0.5299640416
182	0.5299270652
183	0.5298998435
184	0.5298332454
185	0.5298210297
186	0.5297782397
187	0.5297489428
188	0.5297087533
189	0.5296605486
190	0.5296314872
191	0.5295954154
192	0.5295492597
193	0.5294917712
194	0.5294634596
195	0.5294203382
196	0.5293734872
197	0.52932918
198	0.529293505
199	0.5292116983
200	0.5291593781
201	0.5290898067
202	0.5290435006
203	0.5289862714
204	0.5289459163
205	0.5288890533
206	0.528865012
207	0.5288123736
208	0.5287440273
209	0.5286959446
210	0.5286469465
211	0.5285932879
212	0.5285569414
213	0.5285017918
214	0.5284592133
215	0.5284156385
216	0.528370466
217	0.5283219713
218	0.5282697187
219	0.5282389003
220	0.5282039817
